,alt,data-gtm-event,data-gtm-event-action,data-gtm-event-category,href,src,subtitle,title,id,Year,century
0,"Large painting of people in a crowded park, brushstrokes are dots",A Sunday on La Grande Jatte — 1884,Collection Landing,collection-nav,https://www.artic.edu/artworks/27992/a-sunday-on-la-grande-jatte-1884?page=1,"https://www.artic.edu/iiif/2/88d65792-afb3-c90b-56d7-6f95967fa731/full/600,/0/default.jpg",Georges Seurat,"A Sunday on La Grande Jatte — 1884, 1884/86",0,1884,19
1,"Strangers in a brightly lit diner, seen from shadowy exterior",Nighthawks,Collection Landing,collection-nav,https://www.artic.edu/artworks/111628/nighthawks?page=1,"https://www.artic.edu/iiif/2/39d43108-e690-2705-67e2-a16dc28b8c7f/full/600,/0/default.jpg",Edward Hopper,"Nighthawks, 1942",1,1942,20
2,A work made of oil on beaver board.,American Gothic,Collection Landing,collection-nav,https://www.artic.edu/artworks/6565/american-gothic?page=1,"https://www.artic.edu/iiif/2/d02e0079-8e82-733e-683c-cb83a387ee5e/full/600,/0/default.jpg",Grant Wood,"American Gothic, 1930",2,1930,20
3,"Painting of bedroom, blue walls, green window, tan bed, red bedding",The Bedroom,Collection Landing,collection-nav,https://www.artic.edu/artworks/28560/the-bedroom?page=1,"https://www.artic.edu/iiif/2/6ad8f7d6-c8a9-5216-2664-09bd5691c6ed/full/600,/0/default.jpg",Vincent van Gogh,"The Bedroom, 1889",3,1889,19
4,Jewel toned painting of black men and women dancing in club,Nightlife,Collection Landing,collection-nav,https://www.artic.edu/artworks/117266/nightlife?page=1,"https://www.artic.edu/iiif/2/3a8b3bbd-9bd2-43b5-aec2-f22b6d55cdf1/full/600,/0/default.jpg",Archibald John Motley Jr.,"Nightlife, 1943",4,1943,20
5,Blue painting of old man with tan guitar looking down in despair.,The Old Guitarist,Collection Landing,collection-nav,https://www.artic.edu/artworks/28067/the-old-guitarist?page=1,"https://www.artic.edu/iiif/2/869a7319-306e-ca90-1732-cb614199f3df/full/600,/0/default.jpg",Pablo Picasso,"The Old Guitarist, late 1903–early 1904",5,1903,20
6,Fashionable people stroll along rainy Paris street holding umbrellas,Paris Street; Rainy Day,Collection Landing,collection-nav,https://www.artic.edu/artworks/20684/paris-street-rainy-day?page=1,"https://www.artic.edu/iiif/2/7c1093fb-f82c-02aa-a743-b179f26fb89a/full/600,/0/default.jpg",Gustave Caillebotte,"Paris Street; Rainy Day, 1877",6,1877,19
7,"Dark stone sculpture of Buddha sitting cross-legged, hands in lap, eyes closed.",Buddha Shakyamuni Seated in Meditation (Dhyanamudra),Collection Landing,collection-nav,https://www.artic.edu/artworks/21023/buddha-shakyamuni-seated-in-meditation-dhyanamudra?page=1,"https://www.artic.edu/iiif/2/a1a694d2-15e5-2464-0f5b-f527f7bfbfd4/full/600,/0/default.jpg",,"Buddha Shakyamuni Seated in Meditation (Dhyanamudra), Chola period, about 12th century",7,1150,12
8,Painting of the Virgin Mary ascending to heaven amongst multitude of angels.,The Assumption of the Virgin,Collection Landing,collection-nav,https://www.artic.edu/artworks/87479/the-assumption-of-the-virgin?page=1,"https://www.artic.edu/iiif/2/9feeeedc-359f-52ea-7c08-c8589549fc7b/full/600,/0/default.jpg","Domenico Theotokópoulos, called El Greco","The Assumption of the Virgin, 1577–79",8,1577,16
9,"Blue stained glass windows depicting angels, musicians, trees",America Windows,Collection Landing,collection-nav,https://www.artic.edu/artworks/109439/america-windows?page=1,"https://www.artic.edu/iiif/2/a62a08bb-6775-dc38-330e-8fae4271d9a4/full/600,/0/default.jpg",Marc Chagall,"America Windows, 1977",9,1977,20
10,Large plaque of stone carved with animal and geometric hieroglyphs.,Coronation Stone of Motecuhzoma II (Stone of the Five Suns),Collection Landing,collection-nav,https://www.artic.edu/artworks/75644/coronation-stone-of-motecuhzoma-ii-stone-of-the-five-suns?page=1,"https://www.artic.edu/iiif/2/0a05a7f8-35f0-66eb-59d5-0f1df09a28b4/full/600,/0/default.jpg",Aztec (Mexica),"Coronation Stone of Motecuhzoma II (Stone of the Five Suns), 1503",10,1503,16
11,"Large abstract painting, vibrant cluster of multi-colored brushstrokes over a pale background.",City Landscape,Collection Landing,collection-nav,https://www.artic.edu/artworks/86385/city-landscape?page=1,"https://www.artic.edu/iiif/2/3f7b2a2e-ea6c-0834-9c13-87b96e98a68a/full/600,/0/default.jpg",Joan Mitchell,"City Landscape, 1955",11,1955,20
12,"Painting of four nude women composed of geometric shapes, against patterned background.",Bathers by a River,Collection Landing,collection-nav,https://www.artic.edu/artworks/79307/bathers-by-a-river?page=1,"https://www.artic.edu/iiif/2/2f2fb68f-7a92-5805-deed-a57c5aaec251/full/600,/0/default.jpg",Henri Matisse,"Bathers by a River, March 1909/10, May–November 1913, and early spring 1916–October (?) 1917",12,1909,20
13,Colorful pastel painting of two wheat stacks casting long shadows across field.,Stacks of Wheat (End of Summer),Collection Landing,collection-nav,https://www.artic.edu/artworks/64818/stacks-of-wheat-end-of-summer?page=1,"https://www.artic.edu/iiif/2/9511bf7d-4f6c-f523-5fb1-ff069c17f16c/full/600,/0/default.jpg",Claude Monet,"Stacks of Wheat (End of Summer), 1890/91",13,1890,19
14,Wooden sculpture of seated king surrounded by family,Veranda Post of Enthroned King and Senior Wife (Opo Ogoga),Collection Landing,collection-nav,https://www.artic.edu/artworks/102611/veranda-post-of-enthroned-king-and-senior-wife-opo-ogoga?page=1,"https://www.artic.edu/iiif/2/cb094c5a-79b4-4eaf-f05b-4ab73f9e2fb9/full/600,/0/default.jpg",Olowe of Ise,"Veranda Post of Enthroned King and Senior Wife (Opo Ogoga), 1910/14",14,1910,20
15,"Shades of blue circular pieces make up the body of the work with similar pieces in the top right in red, orange and yellow. The white ground can be seen peeking through.",Starry Night and the Astronauts,Collection Landing,collection-nav,https://www.artic.edu/artworks/129884/starry-night-and-the-astronauts?page=1,"https://www.artic.edu/iiif/2/662912d3-e51c-0572-f298-2e8a43b4b21a/full/600,/0/default.jpg",Alma Thomas,"Starry Night and the Astronauts, 1972",15,1972,20
16,Blue and yellow target or bullseye on a red ground.,Target,Collection Landing,collection-nav,https://www.artic.edu/artworks/229351/target?page=1,"https://www.artic.edu/iiif/2/c4276275-66b8-d931-860e-7cfd16512218/full/600,/0/default.jpg",Jasper Johns,"Target, 1961",16,1961,20
17,A work made of enamel on canvas.,Untitled,Collection Landing,collection-nav,https://www.artic.edu/artworks/229393/untitled?page=1,"https://www.artic.edu/iiif/2/12a1920e-3b7a-a87d-1b9d-5574fbb02118/full/600,/0/default.jpg",Tanaka Atsuko,"Untitled, 1964",17,1964,20
18,A work made of tempera and oil on canvas.,The Weaver,Collection Landing,collection-nav,https://www.artic.edu/artworks/151363/the-weaver?page=1,"https://www.artic.edu/iiif/2/600c0f27-1ab8-152e-7f9f-f6264150eb51/full/600,/0/default.jpg",Diego Rivera,"The Weaver, 1936",18,1936,20
19,"Impressionist painting of green water lilies, purple and blue reflection",Water Lilies,Collection Landing,collection-nav,https://www.artic.edu/artworks/16568/water-lilies?page=1,"https://www.artic.edu/iiif/2/adc61da8-d020-d84f-62fb-f5c7435f1f98/full/600,/0/default.jpg",Claude Monet,"Water Lilies, 1906",19,1906,20
20,"Painting of crucifixion, surrounded by scenes of Nazi violence against the Jewish community.",White Crucifixion,Collection Landing,collection-nav,https://www.artic.edu/artworks/59426/white-crucifixion?page=1,"https://www.artic.edu/iiif/2/ef539a4b-e390-4503-77c5-8db1a5a3dabb/full/600,/0/default.jpg",Marc Chagall,"White Crucifixion, 1938",20,1938,20
21,"Abstract painting with beige background, lines creating sharp angles, minimal color",Excavation,Collection Landing,collection-nav,https://www.artic.edu/artworks/76244/excavation?page=1,"https://www.artic.edu/iiif/2/bcc4339b-4c1d-5c53-e60a-e76ccfe1f774/full/600,/0/default.jpg",Willem de Kooning,"Excavation, 1950",21,1950,20
22,"Painting of mother in blue, purple, and green-stripped dress washing child’s feet",The Child's Bath,Collection Landing,collection-nav,https://www.artic.edu/artworks/111442/the-child-s-bath?page=1,"https://www.artic.edu/iiif/2/c418c213-c246-1883-cd09-ca8496c69c9a/full/600,/0/default.jpg",Mary Cassatt,"The Child's Bath, 1893",22,1893,19
23,"Impressionist painting of two girls on balcony, bright flower hat, knitting basket",Two Sisters (On the Terrace),Collection Landing,collection-nav,https://www.artic.edu/artworks/14655/two-sisters-on-the-terrace?page=1,"https://www.artic.edu/iiif/2/f6a10ed9-6c22-dfa6-755d-84454750fae9/full/600,/0/default.jpg",Pierre-Auguste Renoir,"Two Sisters (On the Terrace), 1881",23,1881,19
24,"Large painted portrait of Mao wearing eyeshadow, blush, blue backdrop",Mao,Collection Landing,collection-nav,https://www.artic.edu/artworks/47149/mao?page=1,"https://www.artic.edu/iiif/2/ee0ebec9-d26d-b44c-0b6c-5aba3fce2195/full/600,/0/default.jpg",Andy Warhol,"Mao, 1972",24,1972,20
25,White cow skull with white flowers decorating it on a cream ground with a large stripe.,Cow's Skull with Calico Roses,Collection Landing,collection-nav,https://www.artic.edu/artworks/61428/cow-s-skull-with-calico-roses?page=1,"https://www.artic.edu/iiif/2/6c14fe4d-3caf-82dc-dc40-079b8fae2bfe/full/600,/0/default.jpg",Georgia O'Keeffe,"Cow's Skull with Calico Roses, 1931",25,1931,20
26,"Surrealist painting of miniature train exiting fireplace mid-air, large mirror over mantle.",Time Transfixed,Collection Landing,collection-nav,https://www.artic.edu/artworks/34181/time-transfixed?page=1,"https://www.artic.edu/iiif/2/57f6d8fb-b927-9f88-d23e-677cbb19cd85/full/600,/0/default.jpg",René Magritte,"Time Transfixed, 1938",26,1938,20
27,"Blended rows of light blue, white and pink make up the horizon and move down the painting to show white circles on a gradually darker blue ground.",Sky above Clouds IV,Collection Landing,collection-nav,https://www.artic.edu/artworks/100858/sky-above-clouds-iv?page=1,"https://www.artic.edu/iiif/2/c7e760fa-2970-c183-7ee6-5bb759564d7a/full/600,/0/default.jpg",Georgia O'Keeffe,"Sky above Clouds IV, 1965",27,1965,20
28,"Painting of figures construction project amid smoky destruction, middle is pink crater",The Rock,Collection Landing,collection-nav,https://www.artic.edu/artworks/56682/the-rock?page=1,"https://www.artic.edu/iiif/2/fb225913-20ad-18ff-253e-e869a4b1077e/full/600,/0/default.jpg",Peter Blume,"The Rock, 1944/48",28,1944,20
29,"People sit in a bar. A woman’s face eerily lit green, stares at viewer.",At the Moulin Rouge,Collection Landing,collection-nav,https://www.artic.edu/artworks/61128/at-the-moulin-rouge?page=1,"https://www.artic.edu/iiif/2/6a737617-4e9e-f53f-fdf3-c6acf5af8501/full/600,/0/default.jpg",Henri de Toulouse-Lautrec,"At the Moulin Rouge, 1892/95",29,1892,19
30,Black and brown painting of man in suit composed of fractured geometric shapes,Daniel-Henry Kahnweiler,Collection Landing,collection-nav,https://www.artic.edu/artworks/111060/daniel-henry-kahnweiler?page=1,"https://www.artic.edu/iiif/2/242f2fc1-88ad-a5d8-d8dc-753d3a4a086f/full/600,/0/default.jpg",Pablo Picasso,"Daniel-Henry Kahnweiler, autumn 1910",30,1910,20
31,"Painting of close-up cross, mountain, red, yellow sky backdrop","Black Cross, New Mexico",Collection Landing,collection-nav,https://www.artic.edu/artworks/46327/black-cross-new-mexico?page=1,"https://www.artic.edu/iiif/2/e61a742a-bffe-9df0-c157-363e3fc6c205/full/600,/0/default.jpg",Georgia O'Keeffe,"Black Cross, New Mexico, 1929",31,1929,20
32,"Still life painting of fruit, wine bottle, and bread on disheveled tablecloth.",The Basket of Apples,Collection Landing,collection-nav,https://www.artic.edu/artworks/111436/the-basket-of-apples?page=1,"https://www.artic.edu/iiif/2/210ccf19-8616-6c06-5f42-a5d62b475adb/full/600,/0/default.jpg",Paul Cézanne,"The Basket of Apples, c. 1893",32,1893,19
33,Blue and brown Cubist painting of Picasso with painter’s palette,Portrait of Pablo Picasso,Collection Landing,collection-nav,https://www.artic.edu/artworks/8624/portrait-of-pablo-picasso?page=1,"https://www.artic.edu/iiif/2/4e250daf-853b-7cfe-e248-c19f0cc4ca4a/full/600,/0/default.jpg",Juan Gris,"Portrait of Pablo Picasso, January–February 1912",33,1912,20
34,"Abstract painting, black background covered with flicks and smudges of white and other colors.",Greyed Rainbow,Collection Landing,collection-nav,https://www.artic.edu/artworks/83642/greyed-rainbow?page=1,"https://www.artic.edu/iiif/2/67dfab14-4fa1-b8ad-8bde-a8e011d74911/full/600,/0/default.jpg",Jackson Pollock,"Greyed Rainbow, 1953",34,1953,20
35,"Impressionist painting of steam engine in glass roof station, blue, green hues","Arrival of the Normandy Train, Gare Saint-Lazare",Collection Landing,collection-nav,https://www.artic.edu/artworks/16571/arrival-of-the-normandy-train-gare-saint-lazare?page=1,"https://www.artic.edu/iiif/2/f9ae4fc0-5c4e-f15d-f9ca-71453a8de917/full/600,/0/default.jpg",Claude Monet,"Arrival of the Normandy Train, Gare Saint-Lazare, 1877",35,1877,19
36,"Painting of hanging, ripped apart animal carcass with seated man",Figure with Meat,Collection Landing,collection-nav,https://www.artic.edu/artworks/4884/figure-with-meat?page=1,"https://www.artic.edu/iiif/2/79bdcffa-f26d-0b89-0aac-5ae43bae3296/full/600,/0/default.jpg",Francis Bacon,"Figure with Meat, 1954",36,1954,20
37,"Installation of four TV screens, one video projection of clown movies",Clown Torture,Collection Landing,collection-nav,https://www.artic.edu/artworks/146989/clown-torture?page=1,"https://www.artic.edu/iiif/2/da17a565-2cab-fddf-8722-ca47f95c4487/full/600,/0/default.jpg",Bruce Nauman,"Clown Torture, 1987",37,1987,20
38,"St. George on white horse, piercing green, gold dragon",Saint George and the Dragon,Collection Landing,collection-nav,https://www.artic.edu/artworks/15468/saint-george-and-the-dragon?page=1,"https://www.artic.edu/iiif/2/cfce5a80-d39f-251f-d3cd-3d6b05d9a3ea/full/600,/0/default.jpg",Bernat Martorell,"Saint George and the Dragon, 1434/35",38,1434,15
39,"Cubist painting of woman, bright yellow, green, purple colors",The Red Armchair,Collection Landing,collection-nav,https://www.artic.edu/artworks/5357/the-red-armchair?page=1,"https://www.artic.edu/iiif/2/e3399285-7859-08a2-ed1f-5dfac8c084eb/full/600,/0/default.jpg",Pablo Picasso,"The Red Armchair, December 16, 1931",39,1931,20
40,"Painting of stark landscape populated by strange figures, everyday objects, and a burning giraffe.",Inventions of the Monsters,Collection Landing,collection-nav,https://www.artic.edu/artworks/151424/inventions-of-the-monsters?page=1,"https://www.artic.edu/iiif/2/37d27db5-2f5b-ae94-3917-6d3c46d525de/full/600,/0/default.jpg",Salvador Dalí,"Inventions of the Monsters, 1937",40,1937,20
41,"Painting resembles a blurry, blue photograph of woman wearing a shiny dress",Woman Descending the Staircase (Frau die Treppe herabgehend),Collection Landing,collection-nav,https://www.artic.edu/artworks/147003/woman-descending-the-staircase-frau-die-treppe-herabgehend?page=1,"https://www.artic.edu/iiif/2/5d5c29ba-a8f2-ee16-1bb4-27f832e24040/full/600,/0/default.jpg",Gerhard Richter,"Woman Descending the Staircase (Frau die Treppe herabgehend), 1965",41,1965,20
42,"Cubist painting of distorted gray Paris buildings, red Eiffel Tower",Champs de Mars: The Red Tower,Collection Landing,collection-nav,https://www.artic.edu/artworks/9503/champs-de-mars-the-red-tower?page=1,"https://www.artic.edu/iiif/2/8aa6db7c-7865-993b-8d2a-a03fab1286e7/full/600,/0/default.jpg",Robert Delaunay,"Champs de Mars: The Red Tower, 1911/23",42,1911,20
43,"White plaster statue of woman with protruding compartments, each adorned with fur pompom.",Venus de Milo with Drawers,Collection Landing,collection-nav,https://www.artic.edu/artworks/185184/venus-de-milo-with-drawers?page=1,"https://www.artic.edu/iiif/2/54b1e714-0806-9420-dcaa-cf3d14342bd6/full/600,/0/default.jpg",Salvador Dalí,"Venus de Milo with Drawers, 1936",43,1936,20
44,"Portrait of a man with a short red beard, white shirt, and brown collared coat. Brush strokes are very visible.",Self-Portrait,Collection Landing,collection-nav,https://www.artic.edu/artworks/80607/self-portrait?page=1,"https://www.artic.edu/iiif/2/d650ba2f-db7d-8450-ca2a-b7f0806ef9b9/full/600,/0/default.jpg",Vincent van Gogh,"Self-Portrait, 1887",44,1887,19
45,"A crashing wave looms over two small ships, Mount Fuji in the background.","Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as the Great Wave, from the series ",Collection Landing,collection-nav,https://www.artic.edu/artworks/24645/under-the-wave-off-kanagawa-kanagawa-oki-nami-ura-also-known-as-the-great-wave-from-the-series-thirty-six-views-of-mount-fuji-fugaku-sanjurokkei?page=1,"https://www.artic.edu/iiif/2/982ba820-bbd7-8751-920e-9f411580c002/full/600,/0/default.jpg",Katsushika Hokusai,"Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as the Great Wave, from the series ""Thirty-six Views of Mount Fuji (Fugaku sanjurokkei)"", c. 1830/33",45,1830,19
46,"A Wreath of flowers on dark door, a wrinkled hand rests upon its sill",That Which I Should Have Done I Did Not Do (The Door),Collection Landing,collection-nav,https://www.artic.edu/artworks/83905/that-which-i-should-have-done-i-did-not-do-the-door?page=1,"https://www.artic.edu/iiif/2/587c43ce-12ef-1f36-2b26-631f58b099de/full/600,/0/default.jpg",Ivan Albright,"That Which I Should Have Done I Did Not Do (The Door), 1931/41",46,1931,20
47,Back view of woman in white dress sitting in front of mirror.,Woman at Her Toilette,Collection Landing,collection-nav,https://www.artic.edu/artworks/11723/woman-at-her-toilette?page=1,"https://www.artic.edu/iiif/2/e4a5927f-fc84-1435-b4e7-10f9e1e162e8/full/600,/0/default.jpg",Berthe Morisot,"Woman at Her Toilette, 1875/80",47,1875,19
48,Painting of a man and woman in sculpture garden under cloudless blue sky.,American Collectors (Fred and Marcia Weisman),Collection Landing,collection-nav,https://www.artic.edu/artworks/102234/american-collectors-fred-and-marcia-weisman?page=1,"https://www.artic.edu/iiif/2/e558aed6-a2ab-2236-e120-b8eeb47f461b/full/600,/0/default.jpg",David Hockney,"American Collectors (Fred and Marcia Weisman), 1968",48,1968,20
49,A work made of oil on panel.,Distant View of Niagara Falls,Collection Landing,collection-nav,https://www.artic.edu/artworks/90048/distant-view-of-niagara-falls?page=1,"https://www.artic.edu/iiif/2/d5f188d7-2945-e750-66cd-bdfb740b7606/full/600,/0/default.jpg",Thomas Cole,"Distant View of Niagara Falls, 1830",49,1830,19
50,Woman sits in a wicker chair powdering her chest as she looks in a hand-held mirror.,Into the World There Came a Soul Called Ida,Collection Landing,collection-nav,https://www.artic.edu/artworks/93811/into-the-world-there-came-a-soul-called-ida?page=2,"https://www.artic.edu/iiif/2/d95d08ac-f5af-ce4b-47a5-fed764ecb1b0/full/600,/0/default.jpg",Ivan Albright,"Into the World There Came a Soul Called Ida, 1929–30",50,1929,20
51,"Seen through a window, sunlight partially obscures a skyscraper in the distance","The Shelton with Sunspots, N.Y.",Collection Landing,collection-nav,https://www.artic.edu/artworks/104031/the-shelton-with-sunspots-n-y?page=2,"https://www.artic.edu/iiif/2/7fd7487a-90ed-bae3-2e32-e2b9c4a20c2e/full/600,/0/default.jpg",Georgia O'Keeffe,"The Shelton with Sunspots, N.Y., 1926",51,1926,20
52,"Impressionist sea landscape, tan houses, blue ocean, distant mountains","The Bay of Marseille, Seen from L'Estaque",Collection Landing,collection-nav,https://www.artic.edu/artworks/16487/the-bay-of-marseille-seen-from-l-estaque?page=2,"https://www.artic.edu/iiif/2/665620f0-9b54-f85f-0337-cf30e3e53732/full/600,/0/default.jpg",Paul Cézanne,"The Bay of Marseille, Seen from L'Estaque, c. 1885",52,1885,19
53,"Wooden statue of figure covered in rusty nails, chains, shells, and fabric",Power Figure (Nkisi Nkondi),Collection Landing,collection-nav,https://www.artic.edu/artworks/151358/power-figure-nkisi-nkondi?page=2,"https://www.artic.edu/iiif/2/5e3594aa-e4ad-e906-1eef-57e32df00d56/full/600,/0/default.jpg",Vili,"Power Figure (Nkisi Nkondi), Early/mid–19th century",53,1850,19
54,"Large room with recreated stock exchange chalkboard, stenciled designs, antique light fixtures",Chicago Stock Exchange Trading Room: Reconstruction at the Art Institute of Chicago,Collection Landing,collection-nav,https://www.artic.edu/artworks/156538/chicago-stock-exchange-trading-room-reconstruction-at-the-art-institute-of-chicago?page=2,"https://www.artic.edu/iiif/2/7e047e79-5810-b32f-da14-65fcfd458588/full/600,/0/default.jpg","Adler & Sullivan, Architects","Chicago Stock Exchange Trading Room: Reconstruction at the Art Institute of Chicago, 1893/94 (original built)1972 (original demolished)1976/77 (reconstructed)",54,1893,19
55,"Jesus hung on a brown cross, with his feet on a small ledge. He has white fabric around his waist. The background is black which highlights him.",The Crucifixion,Collection Landing,collection-nav,https://www.artic.edu/artworks/80084/the-crucifixion?page=2,"https://www.artic.edu/iiif/2/1dd61f3c-d5fe-afa1-3486-b590c81c0d55/full/600,/0/default.jpg",Francisco de Zurbarán,"The Crucifixion, 1627",55,1627,17
56,Abstract painting of cannons and buildings in an array of bright colors.,Improvisation No. 30 (Cannons),Collection Landing,collection-nav,https://www.artic.edu/artworks/8991/improvisation-no-30-cannons?page=2,"https://www.artic.edu/iiif/2/9655c63f-e333-e64b-5f08-fab90ba07eff/full/600,/0/default.jpg",Vasily Kandinsky,"Improvisation No. 30 (Cannons), 1913",56,1913,20
57,"Pale blue impressionist beach landscape of figures, boats on shore",The Beach at Sainte-Adresse,Collection Landing,collection-nav,https://www.artic.edu/artworks/14598/the-beach-at-sainte-adresse?page=2,"https://www.artic.edu/iiif/2/9ee6ba5d-97ee-8012-2ee5-7b540a048023/full/600,/0/default.jpg",Claude Monet,"The Beach at Sainte-Adresse, 1867",57,1867,19
58,Girl in a white nightgown stands in front of a large moonlight window.,The Girl by the Window,Collection Landing,collection-nav,https://www.artic.edu/artworks/154235/the-girl-by-the-window?page=2,"https://www.artic.edu/iiif/2/2f84eeb6-393f-4f72-0332-6615896f1634/full/600,/0/default.jpg",Edvard Munch,"The Girl by the Window, 1893",58,1893,19
59,"Vibrant colors of blue, green and yellow show an abstracted scene of shapes.",The Earth Is a Man,Collection Landing,collection-nav,https://www.artic.edu/artworks/117188/the-earth-is-a-man?page=2,"https://www.artic.edu/iiif/2/35101eb0-7679-4528-9b8a-0438cb350969/full/600,/0/default.jpg",Matta,"The Earth Is a Man, 1942",59,1942,20
60,Painting of two fishermen in small wooden boat on rocky seas,The Herring Net,Collection Landing,collection-nav,https://www.artic.edu/artworks/25865/the-herring-net?page=2,"https://www.artic.edu/iiif/2/0c266d91-4d1a-9329-aa1b-6d1a64a35b15/full/600,/0/default.jpg",Winslow Homer,"The Herring Net, 1885",60,1885,19
61,Earth toned landscape painting of boats and lighthouses composed of geometric shapes.,Little Harbor in Normandy,Collection Landing,collection-nav,https://www.artic.edu/artworks/109330/little-harbor-in-normandy?page=2,"https://www.artic.edu/iiif/2/2a6aa3aa-b115-9c8c-2522-08e863afe88a/full/600,/0/default.jpg",Georges Braque,"Little Harbor in Normandy, spring 1909",61,1909,20
62,A work made of oil on canvas.,The Praying Jew,Collection Landing,collection-nav,https://www.artic.edu/artworks/23700/the-praying-jew?page=2,"https://www.artic.edu/iiif/2/c381c00f-c9c7-97bc-a5a1-21797a3553f2/full/600,/0/default.jpg",Marc Chagall,"The Praying Jew, 1923 (one of two versions after a 1914 composition)",62,1923,20
63,"Weathered bronze statue of four-armed god in dancing pose, surrounded by wreath of fire.",Shiva as Lord of the Dance (Nataraja),Collection Landing,collection-nav,https://www.artic.edu/artworks/24548/shiva-as-lord-of-the-dance-nataraja?page=2,"https://www.artic.edu/iiif/2/d50a1936-7e20-8c56-3458-82d173be65b7/full/600,/0/default.jpg",,"Shiva as Lord of the Dance (Nataraja), Chola period, about 10th/11th century",63,950,10
64,Sculpture is a life sized wooden replica of a fallen oak tree.,Hinoki,Collection Landing,collection-nav,https://www.artic.edu/artworks/189207/hinoki?page=2,"https://www.artic.edu/iiif/2/0d0df32c-28d4-c1b0-7ec6-33660d81b869/full/600,/0/default.jpg",Charles Ray,"Hinoki, 2007",64,2007,21
65,Painting of a woman in white dress with a baby in her lap.,Mother and Child,Collection Landing,collection-nav,https://www.artic.edu/artworks/109275/mother-and-child?page=2,"https://www.artic.edu/iiif/2/3b85e563-16a3-c8f2-6157-5db276266b7b/full/600,/0/default.jpg",Pablo Picasso,"Mother and Child, 1921",65,1921,20
66,Life size Egyptian mummy case with crowned gold head,Coffin and Mummy of Paankhenamun,Collection Landing,collection-nav,https://www.artic.edu/artworks/64339/coffin-and-mummy-of-paankhenamun?page=2,"https://www.artic.edu/iiif/2/97140834-fc30-1d10-28d0-c32ee224df63/full/600,/0/default.jpg",Ancient Egyptian,"Coffin and Mummy of Paankhenamun, Third Intermediate Period, Dynasty 22 (about 945–715 BC)",66,0,0
67,"Large painting of cupid being whipped, a woman tries to hold back the a man in red dress",Cupid Chastised,Collection Landing,collection-nav,https://www.artic.edu/artworks/59847/cupid-chastised?page=2,"https://www.artic.edu/iiif/2/cdf47952-5441-34ed-1adb-edb5cbf54446/full/600,/0/default.jpg",Bartolomeo Manfredi,"Cupid Chastised, 1613",67,1613,17
68,"Painting of Greek landscape, classical architecture, yellow, red robed man reading",Landscape with Saint John on Patmos,Collection Landing,collection-nav,https://www.artic.edu/artworks/5848/landscape-with-saint-john-on-patmos?page=2,"https://www.artic.edu/iiif/2/fe55b74f-a761-687d-8991-40b2fd44a51e/full/600,/0/default.jpg",Nicolas Poussin,"Landscape with Saint John on Patmos, 1640",68,1640,17
69,Painting of woman painting portrait of man in front of waterfall,"The Fountain, Villa Torlonia, Frascati, Italy",Collection Landing,collection-nav,https://www.artic.edu/artworks/69780/the-fountain-villa-torlonia-frascati-italy?page=2,"https://www.artic.edu/iiif/2/05dde86c-572c-78b0-5cf3-caeb613e6b0d/full/600,/0/default.jpg",John Singer Sargent,"The Fountain, Villa Torlonia, Frascati, Italy, 1907",69,1907,20
70,"Painting of various sized white squares interspersed with squares of blue, red, yellow, and black.","Lozenge Composition with Yellow, Black, Blue, Red, and Gray",Collection Landing,collection-nav,https://www.artic.edu/artworks/109819/lozenge-composition-with-yellow-black-blue-red-and-gray?page=2,"https://www.artic.edu/iiif/2/faae120a-653c-50fe-33b2-0bd766939bdb/full/600,/0/default.jpg",Piet Mondrian,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray, 1921",70,1921,20
71,"Color pastel drawing of ballerinas in tutus on stage, watched by audience",Ballet at the Paris Opéra,Collection Landing,collection-nav,https://www.artic.edu/artworks/61603/ballet-at-the-paris-opera?page=2,"https://www.artic.edu/iiif/2/dcd24d70-b1dd-5f33-27cc-894431f97386/full/600,/0/default.jpg",Hilaire Germain Edgar Degas,"Ballet at the Paris Opéra, 1877",71,1877,19
72,"Painting of three black youths gardening, residential towers loom in the background.",Many Mansions,Collection Landing,collection-nav,https://www.artic.edu/artworks/137125/many-mansions?page=2,"https://www.artic.edu/iiif/2/1852ee63-388f-501e-f412-4e2d2107feb5/full/600,/0/default.jpg",Kerry James Marshall,"Many Mansions, 1994",72,1994,20
73,Dark colored sculpture of woman’s head composed of fractured geometric shapes.,Head of a Woman (Fernande),Collection Landing,collection-nav,https://www.artic.edu/artworks/66039/head-of-a-woman-fernande?page=2,"https://www.artic.edu/iiif/2/a2388a16-81c7-78cd-f2f4-4e409e6c5cad/full/600,/0/default.jpg",Pablo Picasso,"Head of a Woman (Fernande), autumn 1909",73,1909,20
74,A work made of oil on canvas.,Equestrienne (At the Cirque Fernando),Collection Landing,collection-nav,https://www.artic.edu/artworks/16146/equestrienne-at-the-cirque-fernando?page=2,"https://www.artic.edu/iiif/2/8c7efaf7-185a-59d5-0036-991e2ac55d1e/full/600,/0/default.jpg",Henri de Toulouse-Lautrec,"Equestrienne (At the Cirque Fernando), 1887/88",74,1887,19
