,alt,data-gtm-event,data-gtm-event-action,data-gtm-event-category,href,src,subtitle,title,id,Year,century
1770,"A work made of black chalk on tan laid paper, edge mounted on buff laid paper.",Guard Drawing His Sword,Collection Landing,collection-nav,https://www.artic.edu/artworks/81291/guard-drawing-his-sword?page=38,"https://www.artic.edu/iiif/2/3d07de4a-eaf6-cabb-4cb4-034f8dfedf67/full/600,/0/default.jpg",Raphael,"Guard Drawing His Sword, 17th century",1770,1650,17
1771,"A work made of dye imbibition print, edition of 16.","Cottage Tulip: Sorbet, New York",Collection Landing,collection-nav,https://www.artic.edu/artworks/144752/cottage-tulip-sorbet-new-york?page=38,"https://www.artic.edu/iiif/2/595abcc9-6aae-cf35-0872-7dfe105c6540/full/600,/0/default.jpg",Irving Penn,"Cottage Tulip: Sorbet, New York, 1967, printed 1986",1771,1967,20
1772,"A work made of turquoise, earthenware, stucco, spondylus shell, mother of pearl, and iron pyrite, with pigment.",Mosaic Disk with a Mythological and Historical Scene,Collection Landing,collection-nav,https://www.artic.edu/artworks/146930/mosaic-disk-with-a-mythological-and-historical-scene?page=38,"https://www.artic.edu/iiif/2/d06cb1bb-7ea4-5f22-ef87-ab7ca7a4327d/full/600,/0/default.jpg",Mixtec,"Mosaic Disk with a Mythological and Historical Scene, 1400/1500",1772,1400,15
1773,"A work made of miniature room, mixed media.","A36: California Living Room, 1850-1875",Collection Landing,collection-nav,https://www.artic.edu/artworks/45415/a36-california-living-room-1850-1875?page=38,"https://www.artic.edu/iiif/2/4df4d863-68a4-a088-ffc6-287020e5fb1d/full/600,/0/default.jpg",Mrs. James Ward Thorne,"A36: California Living Room, 1850-1875, c. 1940",1773,1850,19
1774,"A work made of pearwood, tooled or stamped leather.",Side Chair,Collection Landing,collection-nav,https://www.artic.edu/artworks/111297/side-chair?page=38,"https://www.artic.edu/iiif/2/4dc1189e-5117-79c1-6731-3a8e494be593/full/600,/0/default.jpg",Hector Guimard,"Side Chair, 1900/13",1774,1900,20
1775,A work made of gouache on paper.,The Rustlers,Collection Landing,collection-nav,https://www.artic.edu/artworks/93810/the-rustlers?page=38,"https://www.artic.edu/iiif/2/12e2b294-b2eb-42f8-7975-5462d7711ea8/full/600,/0/default.jpg",Ivan Albright,"The Rustlers, 1961–62",1775,1961,20
1776,A work made of gold.,Pentadrachm (Coin) Portraying King Ptolemy I Soter,Collection Landing,collection-nav,https://www.artic.edu/artworks/111016/pentadrachm-coin-portraying-king-ptolemy-i-soter?page=38,"https://www.artic.edu/iiif/2/7d3db6af-5f08-f4a3-d3f0-6fc05feaf910/full/600,/0/default.jpg",Ancient Greek,"Pentadrachm (Coin) Portraying King Ptolemy I Soter, Ptolemaic Period (285–247 BC), issued by King Ptolemy II Philadelphos",1776,0,0
1777,"A work made of black oil paint, gouache, and touches of gum on ivory wove paper.",Maria Lani,Collection Landing,collection-nav,https://www.artic.edu/artworks/12925/maria-lani?page=38,"https://www.artic.edu/iiif/2/c81f595d-759e-26ac-80d8-feed9d0c808f/full/600,/0/default.jpg",Georges Rouault,"Maria Lani, 1928",1777,1928,20
1778,A work made of bronze.,Rape of Europa,Collection Landing,collection-nav,https://www.artic.edu/artworks/47364/rape-of-europa?page=38,"https://www.artic.edu/iiif/2/ec9d7a93-e6d1-1edb-b5bd-6dcd51fe77f2/full/600,/0/default.jpg",Jacques Lipchitz,"Rape of Europa, 1938",1778,1938,20
1779,A work made of oil on copper.,Two Personages in Love with a Woman,Collection Landing,collection-nav,https://www.artic.edu/artworks/129854/two-personages-in-love-with-a-woman?page=38,"https://www.artic.edu/iiif/2/0838b83d-fc86-770f-73aa-77423d53b2ff/full/600,/0/default.jpg",Joan Miró,"Two Personages in Love with a Woman, April 29–May 9, 1936",1779,1936,20
